Year,City,Phase,Match ID,Team 1,Team 2,Team 1 Score,Team 2 Score,Winner,Date,Next Match ID
2022,San Francisco,Group Stage,1,Rogue,DRX,1,0,Rogue,2022-10-08,2
2022,San Francisco,Group Stage,2,DRX,Top Esports,1,0,DRX,2022-10-10,3
2022,San Francisco,Group Stage,3,GAM,DRX,0,1,DRX,2022-10-11,4
2022,San Francisco,Group Stage,4,DRX,Rogue,1,0,DRX,2022-10-15,5
2022,San Francisco,Group Stage,5,DRX,GAM,1,0,DRX,2022-10-16,6
2022,San Francisco,Group Stage,6,Top Esports,DRX,1,0,Top Esports,2022-10-16,7
2022,San Francisco,Quarterfinals,7,DRX,EDward Gaming,3,2,DRX,2022-10-23,8
2022,San Francisco,Semifinals,8,Gen.G,DRX,1,3,DRX,2022-10-30,9
2022,San Francisco,Finals,9,T1,DRX,2,3,DRX,2022-11-06,""
